epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6632,2.78868,1.63434,0.922,0.37849,0.25793,0.2271,0.0717,3.04221,1.70868,0.96184,3.32397e-05,3.32397e-05,0.0667935
2,98.8422,2.66644,1.52361,0.91362,0.53983,0.3433,0.35477,0.12595,2.57463,1.3753,0.89648,6.32777e-05,6.32777e-05,0.0334902
3,143.992,2.63481,1.47341,0.89614,0.49749,0.35271,0.35716,0.12418,2.59333,1.37763,0.88931,9.00156e-05,9.00156e-05,0.000183649
4,188.146,2.58339,1.43837,0.89743,0.53766,0.36072,0.37277,0.13433,2.52894,1.33329,0.88595,8.515e-05,8.515e-05,8.515e-05
5,232.473,2.5873,1.44968,0.89508,0.53754,0.37526,0.38797,0.13969,2.49912,1.33487,0.88257,8.02e-05,8.02e-05,8.02e-05
6,276.475,2.58373,1.42291,0.88935,0.56034,0.36674,0.38695,0.14039,2.49767,1.32191,0.87972,7.525e-05,7.525e-05,7.525e-05
7,321.197,2.57124,1.41764,0.88909,0.5413,0.37432,0.39067,0.14158,2.48425,1.34122,0.88072,7.03e-05,7.03e-05,7.03e-05
8,365.792,2.55771,1.40682,0.88909,0.55185,0.37991,0.39795,0.14424,2.47725,1.31298,0.87714,6.535e-05,6.535e-05,6.535e-05
9,410.12,2.54224,1.3967,0.8878,0.55591,0.37941,0.39893,0.14656,2.46715,1.30643,0.87636,6.04e-05,6.04e-05,6.04e-05
10,454.506,2.52975,1.38449,0.88676,0.54529,0.38056,0.40188,0.14392,2.47985,1.31637,0.87682,5.545e-05,5.545e-05,5.545e-05
11,526.454,2.46286,1.38046,0.89838,0.54801,0.3739,0.39297,0.14234,2.48235,1.32374,0.87969,5.05e-05,5.05e-05,5.05e-05
12,569.814,2.44606,1.36387,0.8972,0.53767,0.37691,0.39266,0.14283,2.48637,1.32359,0.87937,4.555e-05,4.555e-05,4.555e-05
13,614.109,2.4325,1.34697,0.89169,0.54694,0.38822,0.40511,0.14802,2.47054,1.31442,0.87669,4.06e-05,4.06e-05,4.06e-05
14,657.642,2.4242,1.3425,0.89169,0.56134,0.3787,0.40165,0.14599,2.47948,1.3018,0.87669,3.565e-05,3.565e-05,3.565e-05
15,701.115,2.41894,1.33098,0.89495,0.55962,0.38349,0.40455,0.14902,2.46958,1.3043,0.87523,3.07e-05,3.07e-05,3.07e-05
16,744.235,2.41944,1.33443,0.88798,0.55703,0.38686,0.40701,0.1488,2.46174,1.30259,0.87482,2.575e-05,2.575e-05,2.575e-05
17,787.438,2.41434,1.33294,0.8926,0.56095,0.38322,0.40456,0.14982,2.46158,1.29297,0.87515,2.08e-05,2.08e-05,2.08e-05
18,830.546,2.3998,1.31947,0.89312,0.56045,0.38865,0.4084,0.15155,2.45449,1.29001,0.87434,1.585e-05,1.585e-05,1.585e-05
19,873.614,2.39749,1.31444,0.88856,0.55762,0.38593,0.40519,0.15,2.45684,1.29267,0.87472,1.09e-05,1.09e-05,1.09e-05
20,917.098,2.3925,1.31347,0.8901,0.55685,0.388,0.40932,0.15172,2.45214,1.29289,0.87385,5.95e-06,5.95e-06,5.95e-06
